City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,ashland,40.8167,-82.2665,8.98,87,89,4.64,US,1697415752
83,nova sintra,14.8667,-24.7167,24.83,71,88,4.97,CV,1697415752
84,sultanah,24.4926,39.5857,28.25,16,0,2.06,SA,1697415752
85,malango,-2.9627,119.9001,24.5,71,33,1.39,ID,1697415752
86,whitehorse,60.7161,-135.0538,9.43,67,20,6.71,CA,1697415753
87,bollnas,61.3482,16.3946,3.27,65,32,5.21,SE,1697415753
88,tiksi,71.6872,128.8694,-8.48,90,100,7.19,RU,1697415753
89,toliara,-23.35,43.6667,21.49,81,37,2.99,MG,1697415753
90,gizo,-8.103,156.8419,28.79,74,90,5.0,SB,1697415754
91,vernon,50.2581,-119.2691,18.2,66,71,1.03,CA,1697415754
92,puerto ayora,-0.7393,-90.3518,24.75,87,96,1.34,EC,1697415754
93,anloga,5.7947,0.8973,26.59,85,93,5.45,GH,1697415755
94,whakatane,-37.9585,176.9854,21.05,53,100,3.86,NZ,1697415755
95,nar'yan-mar,67.6713,53.087,0.62,87,100,8.94,RU,1697415755
96,kantunilkin,21.0917,-87.45,26.76,81,70,2.61,MX,1697415755
97,erenhot,43.6475,111.9767,6.33,33,0,3.53,CN,1697415756
98,les cayes,18.2,-73.75,26.9,81,97,1.16,HT,1697415631
99,wolbrom,50.3796,19.7583,5.3,80,33,6.86,PL,1697415756
100,vilyuchinsk,52.9306,158.4028,10.15,95,100,2.91,RU,1697415757
101,aasiaat,68.7098,-52.8699,-5.34,74,100,3.1,GL,1697415758
102,terrace,54.5163,-128.6035,13.95,88,75,2.57,CA,1697415758
103,midvagur,62.0511,-7.1939,9.46,87,100,6.17,FO,1697415759
104,yellowknife,62.456,-114.3525,8.56,97,75,4.12,CA,1697415633
105,pacific grove,36.6177,-121.9166,25.3,83,0,2.57,US,1697415759
106,beau vallon,-20.4189,57.6953,21.23,88,20,2.57,MU,1697415759
107,tazacorte,28.629,-17.9293,27.86,31,0,2.57,ES,1697415759
108,hamilton,39.1834,-84.5333,11.47,68,100,4.12,US,1697415602
109,hadibu,12.65,54.0333,26.67,77,62,0.87,YE,1697415760
110,belgrade,44.804,20.4651,8.81,88,0,7.2,RS,1697415537
111,arno,60.1167,18.6333,6.55,64,23,7.08,SE,1697415760
112,cill airne,52.05,-9.5167,7.08,86,100,1.73,IE,1697415547
113,tharangambadi,11.0319,79.8528,26.6,79,65,0.38,IN,1697415761
114,maintirano,-18.0667,44.0167,25.72,80,7,0.87,MG,1697415761
115,naliya,23.2667,68.8333,25.67,77,6,2.65,IN,1697415761
116,weno,7.4515,151.8468,28.97,84,100,4.63,FM,1697415761
117,galliano,29.4422,-90.2992,18.33,55,40,3.6,US,1697415584
118,popondetta,-8.7537,148.2534,30.53,60,100,1.82,PG,1697415762
119,vung tau,10.346,107.0843,26.53,84,100,4.21,VN,1697415762
120,crane,31.3974,-102.3501,19.16,32,0,4.46,US,1697415762
121,namibe,-15.1961,12.1522,17.86,78,23,3.16,AO,1697415763
122,miguel ahumada,30.6167,-106.5167,26.3,30,0,6.49,MX,1697415763
123,ust-nera,64.5667,143.2,-16.55,99,79,1.79,RU,1697415763
124,west island,-12.1568,96.8225,24.99,78,40,4.63,CC,1697415764
125,stanley,54.868,-1.6985,3.62,92,0,4.12,GB,1697415765
126,merlo,-32.3429,-65.014,19.63,39,84,4.17,AR,1697415765
127,khvalynsk,52.4906,48.1058,10.24,72,17,5.06,RU,1697415766
128,talnakh,69.4865,88.3972,-9.33,92,29,1.13,RU,1697415766
129,punta arenas,-53.15,-70.9167,6.06,70,40,8.23,CL,1697415766
130,san fernando,15.0286,120.6898,27.85,82,85,2.19,PH,1697415766
131,uzgen,40.7699,73.3007,6.16,36,24,1.65,KG,1697415767
132,hasaki,35.7333,140.8333,21.27,57,0,2.32,JP,1697415767
133,freetown,8.484,-13.2299,26.06,81,91,0.55,SL,1697415767
134,queenstown,-31.8976,26.8753,11.46,89,100,3.31,ZA,1697415767
135,fort-shevchenko,44.5086,50.263,14.08,52,0,9.75,KZ,1697415768
136,igarka,67.4667,86.5833,1.09,100,100,0.06,RU,1697415768
